ID;Majority_protein_ID;annotation;No_of_proteins;Mol_weight;Sequence_lengths;Reference_F1;Reference_F2;Reference_F3;Reference_F4;Reference_F5;Reference_F6;Reference_F7;Reference_F8;Reference_F9;Reference_F10;Reference_F11;Reference_F12;Reference_F13;Reference_F1415;Reference_F1617;Reference_F18;Repl1_F1;Repl1_F2;Repl1_F3;Repl1_F4;Repl1_F5;Repl1_F6;Repl1_F7;Repl1_F8;Repl1_F9;Repl1_F10;Repl1_F11;Repl1_F12;Repl1_F13;Repl1_F1415;Repl1_F1617;Repl1_F18;Repl2_F1;Repl2_F2;Repl2_F3;Repl2_F4;Repl2_F5;Repl2_F6;Repl2_F7;Repl2_F8;Repl2_F9;Repl2_F10;Repl2_F11;Repl2_F12;Repl2_F13;Repl2_F1415;Repl2_F1617;Repl2_F18;Repl3_F1;Repl3_F2;Repl3_F3;Repl3_F4;Repl3_F5;Repl3_F6;Repl3_F7;Repl3_F8;Repl3_F9;Repl3_F10;Repl3_F11;Repl3_F12;Repl3_F13;Repl3_F1415;Repl3_F1617;Repl3_F18
sll0018;sll0018;fructose-bisphosphate aldolase, class II;1;38.972;359;7759800;602310000;4110900000;16867000000;32649000000;14715000000;5265300000;4011800000;2608200000;1109400000;256130000;472670000;184080000;61642000;13335000;208300000;0;44690000;2661800000;20166000000;19157000000;11779000000;5536700000;1774200000;805250000;319080000;97677000;88557000;20186000;4763200;1304100;20074000;7724800;20371000;881020000;11211000000;23754000000;33458000000;16364000000;2011700000;709590000;312690000;166020000;14184000;10762000;4949600;331610;9917600;8921300;105150000;2391700000;12000000000;31459000000;46501000000;18247000000;5562100000;2037800000;1916300000;764130000;48320000;44022000;3903200;12752000;17805000
sll0019;sll0019;1-deoxy-d-xylulose 5-phosphate reductoisomerase;1;42.532;394;0;0;12792000;321760000;631460000;212750000;34118000;28417000;13765000;10756000;0;1487100;1252100;0;0;7020100;0;0;13899000;445630000;451640000;209790000;24325000;3633500;2214500;2650000;0;0;0;136330;0;0;0;0;14779000;484030000;849840000;240860000;74216000;4148000;2704100;2121600;937200;0;0;0;0;0;0;0;8804200;506200000;1130000000;580330000;40868000;2934500;1632100;7233000;2622100;0;0;0;386390;0
sll0020;sll0020;ATP-dependent Clp protease ATPase subunit;1;91.173;821;164300000;3568300000;2195300000;7968200000;10405000000;2291400000;887490000;511450000;352370000;264340000;34739000;90649000;63838000;29885000;2856600;249930000;11792000;204560000;1524900000;8804700000;6337700000;2102100000;728130000;249300000;131730000;65450000;18691000;10665000;5258800;2774500;384390;20891000;51439000;364130000;2608100000;11005000000;12062000000;4237400000;1922000000;383750000;157930000;168880000;61016000;5186000;1428900;1730000;5253900;15279000;65180000;294020000;4828800000;12877000000;19817000000;7708100000;1418300000;479560000;176860000;247230000;200250000;16637000;1553000;5390300;3047800;17027000
sll0021;sll0021;probable exonuclease;1;45.939;416;0;0;0;14968000;9854200;0;19622000;0;0;0;0;0;0;0;0;0;0;21188000;3538400;0;4377800;0;0;0;0;0;0;0;0;0;0;0;0;4879600;0;12205000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2522900;42542000;9120000;0;0;0;0;0;0;0;0;0;0;0
sll0022;sll0022;unknown protein;1;26.643;249;0;0;0;67935000;234360000;81406000;81284000;24834000;11379000;12950000;7401700;18799000;17602000;71448000;1548300;40418000;0;0;3321300;90798000;187140000;85988000;67351000;24187000;7625100;9209600;1177000;3312500;1402100;6547800;294040;4945600;0;0;0;16064000;316400000;98494000;54952000;46373000;5418900;3029000;3379400;0;0;0;6239400;4628500;0;0;0;22486000;464500000;203600000;62038000;69588000;6269400;10287000;9629200;417070;736550;966780;1988100;9573500
sll0023;sll0023;hypothetical protein;1;51.653;447;0;0;17208000;181170000;592000000;164560000;109990000;63423000;32724000;13691000;5632400;7989400;6035800;7475000;0;23210000;0;235880;13831000;280600000;294020000;135850000;95540000;33370000;7472100;2818400;1041200;1396900;381420;0;0;709480;0;412410;6543800;249340000;745520000;308680000;262100000;82489000;3752500;1621300;2967700;353820;0;0;0;0;0;120660;19218000;623320000;1285200000;660360000;217090000;127060000;14696000;0;6823800;404000;976230;0;301210;614570
sll0026;sll0026;NADH dehydrogenase subunit 5 (involved in constitutive, low affinity CO2 uptake);1;69.363;634;0;0;0;30083000;31994000;12717000;0;718630;0;0;0;0;0;0;0;0;0;0;9238700;36308000;29195000;8580600;0;0;0;652520;0;0;0;0;0;0;0;0;0;25731000;58416000;51023000;32122000;0;0;0;0;0;0;0;0;0;0;0;10233000;39583000;70729000;83556000;35779000;25696000;16408000;13335000;0;0;0;0;0;0
sll0027;sll0027;NADH dehydrogenase subunit 4 (involved in constitutive, low affinity CO2 uptake);1;55.159;507;0;0;0;123090000;325200000;120450000;19686000;11265000;12190000;0;0;0;0;0;0;0;0;0;357520;145750000;211900000;113230000;3244300;0;5325800;4346900;1237200;1513800;460110;0;0;0;0;0;0;96618000;204920000;117680000;47379000;0;0;3354100;2546100;0;0;0;0;0;0;0;0;95777000;306460000;196430000;35491000;16078000;0;11465000;6497400;1562400;0;0;0;264460
sll0030;sll0030;cmp operon transcriptional regulator, LysR family protein;1;34.099;304;0;905150;6065900;34837000;7836600;16569000;0;0;0;0;0;0;0;0;0;0;0;838590;0;63121000;21237000;13410000;0;0;0;0;0;0;0;0;0;0;0;0;0;22158000;15930000;2734200;1456600;0;0;0;0;0;0;0;0;0;0;0;0;24046000;22979000;13961000;0;0;0;0;0;0;0;0;0;0
sll0033;sll0033;carotene isomerase;1;55.771;501;0;0;0;21369000;84332000;83504000;76926000;132880000;86425000;52627000;4148900;21110000;15280000;20460000;1877500;464120000;0;0;0;31489000;64896000;48961000;61990000;45145000;16047000;9834600;2529200;3037800;1341100;507500;275520;44677000;342490;0;0;0;74192000;81385000;130390000;177170000;35254000;14801000;5532700;0;428980;0;0;18149000;0;0;0;0;91712000;106460000;177650000;134750000;99415000;57142000;23409000;11432000;7456700;422930;823890;47263000
sll0034;sll0034;putative carboxypeptidase;1;28.593;258;0;0;33015000;39284000;14928000;8613900;0;15549000;6411100;0;0;0;0;0;0;1328800;0;0;15359000;116020000;8655200;0;0;14086000;2155400;0;0;339290;0;0;0;0;0;0;17570000;100330000;18309000;0;0;11900000;0;0;0;0;0;0;0;0;0;299620;33352000;187940000;20236000;24853000;31510000;27128000;0;0;0;0;0;0;0;0
sll0036;sll0036;hypothetical protein;1;45.909;433;1271300;76019000;60533000;329030000;202980000;9598100;0;0;0;0;0;0;0;0;0;0;436430;5274500;71206000;322960000;105230000;18720000;982750;3218700;0;0;0;0;0;0;0;508600;947650;11701000;21753000;318200000;187000000;43813000;38957000;1692400;0;0;0;0;0;0;0;0;3599200;16362000;76801000;470460000;259270000;72904000;3050800;0;0;0;0;0;0;0;0;0
sll0037;sll0037;hypothetical protein;1;38.339;336;0;0;8197600;34847000;41489000;9757300;1448000;1920900;1029500;0;0;0;0;0;0;11001000;0;0;9613800;33277000;33303000;7678800;1316500;1105400;333750;259370;0;0;0;0;0;0;0;0;0;37300000;56694000;18300000;9606900;0;0;0;0;0;0;0;0;0;0;0;1345800;20713000;70602000;55046000;3968500;0;0;0;0;0;0;0;0;0
sll0038;sll0038;positive phototaxis protein, two-component response regulator PatA subfamily;1;44.815;402;394900;405960000;558860000;597330000;452040000;71850000;31260000;23258000;10754000;3344700;0;699480;0;552260;220390;53042000;0;45981000;418890000;904840000;192080000;87681000;28903000;9850900;2416300;889270;0;374130;0;0;0;5410500;0;34275000;528780000;782700000;348800000;167740000;103090000;31841000;12935000;2718500;1592100;0;0;0;180030;2986500;0;14652000;1689600000;1177600000;528630000;258510000;60951000;37730000;0;26820000;2898300;0;0;0;0;3044000
sll0039;sll0039;positive phototaxis protein, two-component response regulator CheY subfamily;1;13.181;119;48257000;4445700000;1257700000;378820000;114970000;0;33994000;0;0;0;0;0;0;0;0;0;2078800;316520000;817830000;423020000;97073000;0;0;0;3296200;0;0;0;0;0;0;0;47757000;467810000;692110000;631870000;61439000;10650000;11395000;0;0;0;0;0;0;0;0;0;60023000;310530000;1113400000;727780000;133680000;21373000;0;0;0;0;0;0;0;0;0;0
sll0040;sll0040;positive phototaxis protein, homologous to chemotaxis protein CheW;1;16.214;147;0;0;24244000;59209000;71149000;13330000;1990300;0;0;0;0;0;0;0;0;0;0;0;17390000;96834000;25752000;7115800;0;5749000;0;0;0;0;0;0;0;0;0;0;3149100;43990000;36972000;20349000;4782300;0;0;0;0;0;0;0;0;0;0;0;8377700;40039000;59868000;32751000;6353700;0;0;0;0;0;0;0;0;0
sll0041;sll0041;"phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein";1;108.33;1000;18488000;373310000;290090000;3167900000;5122300000;1146800000;267650000;345010000;282160000;171070000;66903000;144570000;145560000;158510000;10141000;277490000;430440;10782000;166280000;3169300000;3160100000;975880000;238580000;142150000;78286000;52142000;23722000;24131000;8426600;4934100;1728400;15678000;730120;53828000;272130000;3126900000;5255500000;1677400000;716100000;257880000;58905000;41571000;34338000;11918000;5581600;1446500;1839800;11689000;4208000;41847000;438410000;3485700000;8657300000;3720800000;490060000;261690000;106540000;117720000;57174000;12636000;11380000;7911300;5619200;38103000
sll0042;sll0042;methyl-accepting chemotaxis protein for positive phototaxis;1;17.707;163;13246000;835230000;1082200000;915490000;369690000;61200000;15015000;13973000;16263000;9635200;0;1423200;0;0;0;8150100;1609800;82684000;662450000;1122200000;209290000;62672000;18025000;5537400;3664200;2178300;0;0;0;0;0;1815700;0;156070000;1611200000;1949400000;504190000;66008000;81796000;4323900;0;462500;0;0;0;0;0;0;1233600;58253000;4263900000;1857300000;364780000;133070000;12652000;5693600;0;1013800;957040;0;0;0;0;0
sll0043;sll0043;positive phototaxis protein, homologous to chemotaxis protein CheA, two-component hybrid histidine kinase;1;153.1;1402;7327600;375830000;119960000;403210000;853030000;317600000;60840000;64782000;33921000;19332000;1299400;6885800;7565900;3150800;316320;23368000;0;19070000;111260000;675030000;498980000;313050000;74647000;24356000;21113000;6623000;1519400;637440;229540;249560;0;3755400;3337600;25696000;128870000;673410000;693630000;428260000;214400000;85555000;29436000;12450000;7449100;2856900;2875800;939040;1051600;2329800;2457300;21507000;306940000;1014300000;1198300000;775140000;316430000;140130000;46285000;38561000;15125000;3998000;2796200;1313100;1352100;2594900
sll0044;sll0044;unknown protein;1;17.733;161;14600000;556330000;98200000;71565000;6927400;1498000;0;0;0;0;0;0;0;0;0;3292200;0;40752000;65280000;44609000;1967900;0;0;0;0;0;0;0;0;0;0;0;576750;89548000;270270000;65988000;17764000;19545000;0;0;0;0;0;0;0;0;0;0;631790;36362000;477360000;46484000;22204000;34713000;0;0;0;0;0;0;0;0;130660;0
sll0045;sll0045;sucrose phosphate synthase;1;81.411;720;0;24408000;7469200;15282000;68456000;45292000;38793000;2693600;0;0;0;0;0;0;0;0;0;0;5442800;18500000;6326300;45988000;43534000;2464800;0;0;2282800;0;0;0;0;0;0;0;0;15384000;29265000;50385000;52840000;9484800;0;0;0;0;0;0;0;0;0;0;12832000;19373000;43451000;61435000;58883000;17957000;0;0;530910;0;0;759740;0;0
sll0048;sll0048;unknown protein;1;34.866;312;3710500;40361000;445050000;1154000000;761250000;164320000;20692000;15841000;15686000;14553000;0;4960900;4967200;711770;0;10226000;0;4461900;300400000;1421300000;457160000;116830000;40416000;18042000;5326000;6109100;467520;2117600;319930;0;0;1942300;3112800;7827300;289060000;1707800000;798070000;308360000;126430000;46951000;12188000;6960500;1778500;0;0;0;0;538060;6066500;2247600;680740000;2372400000;1145900000;560190000;99936000;57413000;21417000;21723000;4258900;0;0;0;0;2132800
sll0051;sll0051;hypothetical protein;1;17.799;159;0;1377600000;2958900000;3427200000;3003700000;473270000;110150000;135110000;104120000;93592000;5200300;22577000;17302000;685170;0;0;0;108600000;1806700000;4088700000;1469400000;345900000;147630000;76259000;25944000;19881000;0;668810;677070;0;0;1059200;475810;121890000;3868100000;10294000000;3573600000;1488100000;502730000;56363000;30379000;11407000;5993600;297520;0;253370;0;1524500;117510;86083000;8003200000;13923000000;4828400000;2014900000;154420000;65060000;33629000;28055000;17349000;0;119450;149390;0;705390
sll0053;sll0053;biotin carboxylase;1;49.164;448;7102400;37285000;63643000;183390000;445010000;162010000;43731000;32303000;23338000;18296000;537930;3466200;4705200;994770;0;19882000;660380;5307600;40030000;350790000;273050000;215480000;44445000;14321000;2091700;1736800;815340;0;0;0;0;0;1491400;1718600;25296000;123970000;349090000;316880000;669760000;204960000;65084000;8855100;17638000;1429000;751790;0;0;2795500;2968100;3219400;37298000;129440000;362310000;485320000;429940000;271220000;47589000;100180000;32606000;3063600;6306700;872250;0;1869200
sll0055;sll0055;processing protease;1;48.117;428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2596400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sll0057;sll0057;heat shock protein GrpE;1;27.567;249;65951000;446110000;280180000;3654200000;7239900000;2310000000;576280000;501330000;371300000;214230000;25032000;59382000;48851000;3936900;0;4733500;1237000;21746000;126310000;3646000000;4343600000;1995700000;600650000;281760000;145700000;57387000;7239100;9617100;3524400;316690;0;861890;8776000;41055000;198310000;4978800000;14373000000;6317000000;2585000000;564840000;100780000;40091000;21160000;2614100;122330;0;0;2056200;21732000;37698000;382130000;5795200000;20272000000;11236000000;1907700000;750000000;75242000;114560000;39997000;2346600;0;0;0;0
sll0058;sll0058;DnaK protein 1, heat shock protein 70, molecular chaperone;1;75.178;692;122570000;3005100000;1256700000;2971500000;3296300000;745020000;169840000;234540000;104410000;63202000;3145200;25511000;11503000;7253000;2058800;81734000;13018000;562030000;1215900000;3864500000;2043800000;608160000;190850000;66809000;34317000;22427000;800310;3828300;250360;397770;172810;8427900;24734000;201760000;532740000;3838200000;2842700000;734130000;451820000;78310000;26022000;9885700;8432600;1987400;0;182390;283050;3917100;48926000;443510000;867880000;4371900000;4570000000;1845800000;183570000;56809000;35680000;49049000;23297000;5695600;2740600;700940;2309900;8633300
sll0063;sll0063;hypothetical protein;1;43.113;395;0;0;6213400;19399000;52000000;60898000;37132000;11128000;4355500;1155800;0;0;0;0;0;9950600;0;0;3360500;25800000;22679000;55248000;34221000;4370000;0;0;0;0;0;0;0;0;0;0;46399000;83850000;94152000;57785000;37459000;2951700;0;0;819150;0;0;0;0;1948200;0;0;94501000;118270000;123330000;93788000;33319000;2294400;0;0;0;610320;0;0;0;0
sll0064;sll0064;periplasmic protein, putative polar amino acid transport system substrate-binding protein;1;30.177;275;1730400;656800000;159110000;863950000;307590000;9200500;0;4666700;0;0;428960;317720;981520;2318900;0;4948000;0;14568000;268970000;444180000;83474000;0;1261800;322750;0;0;0;0;0;0;0;0;1624400;77975000;659890000;655710000;267390000;49761000;27077000;3764000;0;4653000;0;0;0;0;0;0;0;25608000;999310000;980820000;683800000;83358000;0;0;0;6616100;0;0;0;214460;164230;0
sll0065;sll0065;acetolactate synthase small subunit;1;18.871;172;11523000;1582900000;1078700000;1027600000;310020000;111710000;210620000;90733000;43045000;15947000;887790;1350400;4622800;0;0;7399800;966310;115100000;798010000;1016200000;224930000;116110000;220100000;66313000;19454000;3534700;0;417430;0;0;0;454020;442390;188060000;1361700000;943980000;343350000;158550000;312480000;86325000;45390000;14359000;6633100;0;0;0;0;0;1118100;70212000;1798000000;1125400000;496390000;235750000;353200000;164130000;76753000;58200000;20742000;2243400;0;0;0;361990
sll0066;sll0066;unknown protein;1;34.168;315;323610;74108000;129030000;325140000;145570000;8823000;8907600;2723100;1421200;1725600;0;0;0;0;0;0;0;6693900;107180000;427140000;79746000;6070200;4944100;522650;0;227800;0;0;0;0;0;0;0;13602000;91592000;636980000;196370000;8496100;0;0;0;0;362710;0;0;0;611470;0;0;4033300;234380000;916700000;336940000;41870000;0;0;0;0;0;0;0;0;0;0
sll0067;sll0067;glutathione S-transferase;1;20.377;184;22403000;625350000;1124600000;1685500000;787620000;180270000;54644000;37124000;15156000;24317000;4987600;7173500;4527100;0;0;2922600;3451000;59057000;1108000000;2130600000;513540000;212790000;47657000;17455000;17806000;10687000;1508900;1462800;626270;0;0;1615200;9014200;93345000;2505900000;3659800000;1153200000;213050000;90038000;0;3428800;6413700;2499500;0;0;0;0;0;7383200;81959000;5849700000;3718200000;1668000000;198870000;35779000;10645000;0;6915400;10511000;6949200;0;0;0;503910
sll0068;sll0068;unknown protein;1;134.66;1209;1838000;91409000;16845000;34923000;224690000;408930000;116300000;92942000;36241000;6631500;5284900;6294000;3988900;646700;0;6118800;0;7929600;9522600;54292000;132110000;345860000;99280000;17439000;14433000;2943400;0;0;370160;0;0;858930;2581200;16182000;53430000;24975000;173950000;392470000;217160000;85254000;16006000;14187000;4387500;841370;0;0;0;261540;3348900;7932600;59584000;28645000;204100000;473580000;288060000;155300000;51911000;49206000;7849400;0;0;0;0;0
sll0069;sll0069;hypothetical protein;1;28.901;256;0;4210600;0;0;1848700;7737800;72725000;372870000;979270000;691100000;94328000;100240000;28685000;4191300;0;0;1923000;547650;0;2222900;0;13449000;78198000;207140000;311420000;206140000;36850000;19296000;570620;0;0;0;0;0;0;0;0;5558600;39850000;196270000;237090000;330680000;163070000;16643000;1973500;0;0;0;0;0;0;0;0;0;37156000;158560000;592940000;565580000;393560000;57714000;14240000;277380;0;166560
sll0070;sll0070;phosphoribosylglycinamide formyltransferase;1;32.634;284;0;0;0;60384000;318900000;96400000;5032100;8360200;1297600;620100;0;0;0;0;0;0;0;0;0;22827000;171480000;65886000;5509800;2515100;0;106970;0;0;0;0;0;230700;0;2812000;0;0;537870000;212620000;69285000;6691600;0;0;0;0;1380200;0;0;0;0;0;0;0;777010000;576690000;35614000;10431000;0;0;0;0;0;355050;0;385750
sll0072;sll0072;hypothetical protein;1;25.799;227;0;0;99604000;153320000;78971000;1868100;0;0;1225300;0;0;0;0;0;0;0;0;0;83297000;265990000;50602000;30957000;6083400;0;0;0;0;0;0;0;0;0;0;0;92024000;348320000;72128000;16130000;8742900;0;0;0;0;0;0;0;0;0;0;0;164160000;390320000;123170000;17860000;0;0;0;0;0;0;0;0;0;0
sll0078;sll0078;threonyl-tRNA synthetase;1;68.872;603;1711200;21350000;9177300;391340000;726370000;203210000;30599000;27249000;12347000;3149000;0;1343500;1356800;1819400;0;8431900;0;2890900;17176000;457640000;491800000;211910000;38222000;16889000;5782500;2006300;0;308090;0;0;0;342930;1367600;14944000;5794100;1005000000;1818300000;696610000;263590000;7790300;9786400;1879300;856410;0;0;0;2297700;596470;2933500;2307500;41508000;1230100000;2594600000;1677300000;165370000;30811000;6816600;7995500;2472200;0;0;0;379140;0
sll0080;sll0080;N-acetyl-gamma-glutamyl-phosphate reductase;1;38.209;351;254600;19285000;148150000;1189800000;2243800000;1012500000;521310000;270640000;123980000;68647000;8632900;14102000;4650300;1899000;0;7698100;0;0;142240000;1641600000;1437300000;1072500000;511640000;119300000;38870000;15480000;2662100;2469200;0;0;0;0;402100;0;52042000;1018500000;1650000000;1604800000;1253100000;355790000;77607000;24120000;8970500;0;0;0;0;0;267520;5685900;128040000;1653200000;3187600000;2683400000;1112100000;448800000;162920000;111270000;36595000;0;0;0;0;0
sll0083;sll0083;phosphoheptose isomerase;1;21.137;194;0;0;0;3937300;78392000;47905000;0;0;0;0;0;0;0;0;0;0;0;0;0;15266000;57079000;49763000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114500000;73223000;31602000;0;0;0;0;0;0;0;0;0;0;0;0;7602700;140030000;104720000;31472000;0;0;0;577040;0;0;0;0;0
sll0084;sll0084;putative phosphatase;1;17.385;161;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2435500;0;0;0;0;0;0;0;0;0;0;0;0;3943400;0;0;0;0;0;0;2804000;992590;0;0;0;0;0;0;0;8425200;0;0;0;0;0;0;0;0;0;0;0;0;0
sll0085;sll0085;unknown protein;1;46.427;403;0;26983000;0;19827000;38315000;3008000;0;0;0;0;0;0;0;0;0;0;0;0;0;22630000;17864000;29018000;0;1835100;0;0;0;0;0;0;0;0;0;0;0;28221000;21828000;5619800;2775500;0;0;0;0;0;0;0;0;0;0;0;0;61473000;43335000;8375800;0;1725700;3737000;0;0;0;0;0;0;0
sll0086;sll0086;putative arsenical pump-driving ATPase;1;44.626;396;25261000;486810000;149960000;201160000;152450000;31309000;25323000;44779000;37927000;42691000;8380500;8423500;6734700;2576000;1424700;19769000;2878600;35328000;103710000;224520000;91792000;29333000;21004000;17521000;13293000;20510000;1600700;2171400;959460;604080;169990;1726000;9148700;83875000;149250000;224590000;182830000;89558000;57795000;42521000;3749600;13640000;21204000;0;161630;0;0;0;9717300;50799000;394390000;239700000;238640000;159750000;70480000;61799000;5633900;16661000;7447500;1338900;2451900;370640;0;0
sll0088;sll0088;hypothetical protein;1;27.37;240;0;120410000;26837000;7773800;0;0;0;0;856140;0;0;0;0;0;0;0;0;3542800;17719000;7341700;0;0;0;0;0;0;2440600;513250;762260;0;0;0;630430;15118000;57903000;3566800;0;0;0;5755200;0;0;704750;0;2402100;728960;0;0;746920;12804000;51163000;11519000;0;1759000;0;0;0;0;0;0;0;0;595440;0
sll0094;sll0094;two-component sensor histidine kinase;1;51.781;457;0;4312200;4263800;168330000;199940000;9925300;0;0;0;0;3294400;0;0;0;0;979780;0;0;4198800;190670000;104990000;21567000;2991900;0;0;308150;0;0;0;0;0;0;0;1014800;2858300;302170000;187500000;57521000;8647800;0;0;0;213670;0;0;0;0;11579000;0;560360;19948000;369530000;311070000;175320000;0;0;0;0;0;0;0;0;0;0
sll0095;sll0095;hypothetical protein;1;60.723;531;0;0;1827900;4176600;0;0;2611900;4760200;3341600;9279700;5144900;4994700;4135000;0;0;0;0;0;2173000;5176300;1934400;0;0;2809100;0;3167700;3029400;2665100;701020;0;0;0;0;0;0;8366700;4055600;0;0;0;0;1771600;2165300;3022800;541260;0;0;0;30324000;0;0;10947000;16014000;3706200;0;0;7720900;7239800;3746300;3209000;5865900;661460;0;0
sll0096;sll0096;hypothetical protein;1;49.777;448;174970;14815000;184210000;611120000;471360000;70651000;7482400;16694000;7858000;3644500;0;1166200;583620;1158300;0;4939000;0;0;149870000;777590000;293290000;83125000;12236000;6574600;816870;572970;0;201730;0;0;0;568040;0;0;130650000;924780000;473990000;128370000;47831000;884570;0;0;0;0;0;0;0;0;0;0;291340000;964790000;803240000;273960000;27814000;8251500;859810;1386800;0;0;0;0;0;0
