locustag_ID;locustag;GenBank Accession;Molweight (kDa);length (nt);Transmembrane Helices (JGI);No_of_disordered_domains;length_of_disordered_domains;percentage_of_discordered_domain;tool_for_disordered_domains;Localisation(DavidLeaSmith);NbofTMHs(DavidLeaSmith);nr_of_interactions(Sato);self interaction(Sato);interactions(Sato)
sll0023-as;sll0023;NP_442108;NA;125;0;NA;NA;NA;NA;unknown;0;3;no;sll1841 sll1454 sll0022
sll0024;sll0024;NP_442107;NA;822;0;NA;NA;NA;NA;NA;NA;1;no;slr1495
sll0024-as;sll0024;NP_442107;NA;129;0;NA;NA;NA;NA;NA;NA;1;no;slr1495
sll0026;sll0026;NP_442738;69.363;1905;16;NA;NA;NA;NA;NA;NA;2;no;slr1471 slr0798
sll0026-5UTR;sll0026;NP_442738;NA;58;16;NA;NA;NA;NA;NA;NA;2;no;slr1471 slr0798
sll0026-as;sll0026;NP_442738;NA;54;16;NA;NA;NA;NA;NA;NA;2;no;slr1471 slr0798
sll0027;sll0027;NP_442737;55.159;1524;13;NA;NA;NA;NA;TM;13;2;no;slr1471 sll1614
sll0027-as;sll0027;NP_442737;NA;164;13;NA;NA;NA;NA;TM;13;2;no;slr1471 sll1614
sll0034;sll0034;NP_442726;28.593;777;1;NA;NA;NA;NA;PM;1;1;no;sll0310
sll0034-3UTR;sll0034;NP_442726;NA;118;1;NA;NA;NA;NA;PM;1;1;no;sll0310
sll0034-5UTR;sll0034;NP_442726;NA;31;1;NA;NA;NA;NA;PM;1;1;no;sll0310
sll0043;sll0043;NP_442714;153.1;4209;0;NA;NA;NA;NA;unknown;0;7;no;slr1645 ssl2296 sll0041 sll0192 sll1691 ssl3692 sll1170
sll0043-as;sll0043;NP_442714;NA;61;0;NA;NA;NA;NA;unknown;0;7;no;slr1645 ssl2296 sll0041 sll0192 sll1691 ssl3692 sll1170
sll0048;sll0048;NP_442708;34.866;939;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0341 slr1042
sll0048-5UTR;sll0048;NP_442708;NA;100;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0341 slr1042
sll0051;sll0051;NP_442230;17.799;480;0;NA;NA;NA;NA;NA;NA;1;no;sll0739
sll0051-3UTR;sll0051;NP_442230;NA;134;0;NA;NA;NA;NA;NA;NA;1;no;sll0739
sll0051-5UTR;sll0051;NP_442230;NA;78;0;NA;NA;NA;NA;NA;NA;1;no;sll0739
sll0053;sll0053;NP_442228;49.164;1347;0;NA;NA;NA;NA;unknown;0;11;no;slr0435 sll1366 sll0185 sll1249 slr0309 sll0175 slr1431 sll0184 sll0309 sll1864 slr0280
sll0053-3UTR;sll0053;NP_442228;NA;126;0;NA;NA;NA;NA;unknown;0;11;no;slr0435 sll1366 sll0185 sll1249 slr0309 sll0175 slr1431 sll0184 sll0309 sll1864 slr0280
sll0053-5UTR;sll0053;NP_442228;NA;44;0;NA;NA;NA;NA;unknown;0;11;no;slr0435 sll1366 sll0185 sll1249 slr0309 sll0175 slr1431 sll0184 sll0309 sll1864 slr0280
sll0055;sll0055;NP_442226;48.117;1287;0;NA;NA;NA;NA;NA;NA;3;no;sll1483 sll1513 sll0555
sll0055-5UTR;sll0055;NP_442226;NA;33;0;NA;NA;NA;NA;NA;NA;3;no;sll1483 sll1513 sll0555
sll0057;sll0057;NP_442221;27.567;750;0;NA;NA;NA;NA;Soluble proteins;0;8;no;sll1032 slr0697 sll1434 sll1180 sll1463 sll1643 ssl0105 slr1738
sll0057-5UTR;sll0057;NP_442221;NA;81;0;NA;NA;NA;NA;Soluble proteins;0;8;no;sll1032 slr0697 sll1434 sll1180 sll1463 sll1643 ssl0105 slr1738
sll0058;sll0058;NP_442220;75.178;2079;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1385
sll0064;sll0064;NP_442212;30.177;828;0;NA;NA;NA;NA;Soluble proteins;2;1;no;slr0653
sll0065;sll0065;NP_442206;18.871;519;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0184
sll0065-5UTR;sll0065;NP_442206;NA;105;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0184
sll0066;sll0066;NP_442205;34.168;948;1;NA;NA;NA;NA;unknown;1;2;no;slr2087 sll0071
sll0067;sll0067;NP_442204;20.377;555;0;NA;NA;NA;NA;Soluble proteins;0;1;no;ssl0109
sll0067-as;sll0067;NP_442204;NA;54;0;NA;NA;NA;NA;Soluble proteins;0;1;no;ssl0109
sll0068;sll0068;NP_442203;134.66;3630;0;NA;NA;NA;NA;Soluble proteins;0;12;no;slr0922 ssr1399 slr1530 ssr1256 slr2125 sll1658 slr1614 ssl0739 sll1084 slr1992 slr0012 slr0011
sll0068-5UTR;sll0068;NP_442203;NA;86;0;NA;NA;NA;NA;Soluble proteins;0;12;no;slr0922 ssr1399 slr1530 ssr1256 slr2125 sll1658 slr1614 ssl0739 sll1084 slr1992 slr0012 slr0011
sll0071;sll0071;NP_442199;NA;1002;0;NA;NA;NA;NA;PM;0;5;no;sll1441 slr0900 sll0066 sll1614 slr1761
sll0085;sll0085;NP_442477;46.427;1212;0;NA;NA;NA;NA;PM;0;2;no;sll0473 sll1471
sll0095;sll0095;NP_442576;60.723;1596;3;NA;NA;NA;NA;PM;0;1;no;sll1542
sll0096;sll0096;NP_442575;49.777;1347;0;NA;NA;NA;NA;Soluble proteins;0;4;no;sll1920 sll1557 slr1403 sll1629
sll0096-5UTR;sll0096;NP_442575;NA;28;0;NA;NA;NA;NA;Soluble proteins;0;4;no;sll1920 sll1557 slr1403 sll1629
sll0099;sll0099;NP_442571;NA;1278;0;NA;NA;NA;NA;unknown;0;2;no;sll1072 sll1592
sll0102;sll0102;NP_442566;40.096;1077;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1471
sll0102-3UTR;sll0102;NP_442566;NA;57;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1471
sll0102-5UTR;sll0102;NP_442566;NA;35;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1471
sll0108;sll0108;NP_442561;53.58;1524;12;NA;NA;NA;NA;PM;13;2;no;sll0169 sll1920
sll0108-as;sll0108;NP_442561;NA;39;12;NA;NA;NA;NA;PM;13;2;no;sll0169 sll1920
sll0135;sll0135;NP_441892;34.483;957;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr1964
sll0136;sll0136;NP_441891;49.5;1326;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0252
sll0136-3UTR;sll0136;NP_441891;NA;160;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0252
sll0136-5UTR;sll0136;NP_441891;NA;31;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0252
sll0141;sll0141;NP_441885;50.992;1404;0;NA;NA;NA;NA;PM;0;2;no;slr0649 slr1773
sll0141-3UTR;sll0141;NP_441885;NA;113;0;NA;NA;NA;NA;PM;0;2;no;slr0649 slr1773
sll0141-5UTR;sll0141;NP_441885;NA;129;0;NA;NA;NA;NA;PM;0;2;no;slr0649 slr1773
sll0142;sll0142;NP_441884;115.19;3228;12;NA;NA;NA;NA;PM;4;6;no;slr1644 sll1323 slr0331 sll1214 sll1446 sll1752
sll0142-3UTR;sll0142;NP_441884;NA;109;12;NA;NA;NA;NA;PM;4;6;no;slr1644 sll1323 slr0331 sll1214 sll1446 sll1752
sll0142-5UTR;sll0142;NP_441884;NA;76;12;NA;NA;NA;NA;PM;4;6;no;slr1644 sll1323 slr0331 sll1214 sll1446 sll1752
sll0142-as;sll0142;NP_441884;NA;21;12;NA;NA;NA;NA;PM;4;6;no;slr1644 sll1323 slr0331 sll1214 sll1446 sll1752
sll0144;sll0144;NP_441880;27.651;783;0;6;39;0.149425287;VLXT;Soluble proteins;0;3;no;slr1690 sll0910 slr1062
sll0144-5UTR;sll0144;NP_441880;NA;56;0;6;39;2.089285714;VLXT;Soluble proteins;0;3;no;slr1690 sll0910 slr1062
sll0154;sll0154;NP_442008;51.007;1389;2;NA;NA;NA;NA;PM;0;1;no;ssl3692
sll0154-3UTR;sll0154;NP_442008;NA;11;2;NA;NA;NA;NA;PM;0;1;no;ssl3692
sll0154-5UTR;sll0154;NP_442008;NA;101;2;NA;NA;NA;NA;PM;0;1;no;ssl3692
sll0162;sll0162;NP_441995;22.688;585;0;NA;NA;NA;NA;unknown;0;1;no;slr0093
sll0163;sll0163;NP_441994;189.93;5082;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1362 slr0653
sll0163-as;sll0163;NP_441994;NA;137;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1362 slr0653
sll0163-as2;sll0163;NP_441994;NA;52;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr1362 slr0653
sll0166;sll0166;NP_441993;58.689;1617;0;NA;NA;NA;NA;unknown;0;1;no;slr1143
sll0169;sll0169;NP_441990;79.423;2145;1;NA;NA;NA;NA;PM;1;15;no;slr0171 slr1644 ssr2142 slr1235 slr1629 slr1518 sll0819 sll0108 sll1880 slr1218 sll0914 slr1127 sll0939 slr1584 slr0533
sll0170;sll0170;NP_441989;67.613;1911;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr2016
sll0170-3UTR;sll0170;NP_441989;NA;97;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr2016
sll0170-5UTR;sll0170;NP_441989;NA;99;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr2016
sll0170-as;sll0170;NP_441989;NA;108;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr2016
sll0172;sll0172;NP_441987;16.347;459;0;NA;NA;NA;NA;NA;NA;1;no;sll0173
sll0172-5UTR;sll0172;NP_441987;NA;263;0;NA;NA;NA;NA;NA;NA;1;no;sll0173
sll0176;sll0176;NP_441982;NA;324;0;NA;NA;NA;NA;unknown;0;1;no;ssl0312
sll0176-5UTR;sll0176;NP_441982;NA;226;0;NA;NA;NA;NA;unknown;0;1;no;ssl0312
sll0178;sll0178;NP_442370;151.89;3960;1;NA;NA;NA;NA;PM;1;11;no;ssl0294 slr0192 sll1394 slr1653 slr1301 ssr2439 sll0532 sll1825 slr1340 slr1505 ssr2201
sll0178-5UTR;sll0178;NP_442370;NA;53;1;NA;NA;NA;NA;PM;1;11;no;ssl0294 slr0192 sll1394 slr1653 slr1301 ssr2439 sll0532 sll1825 slr1340 slr1505 ssr2201
sll0183;sll0183;NP_442352;27.402;780;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0381
sll0183-3UTR;sll0183;NP_442352;NA;153;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0381
sll0183-5UTR;sll0183;NP_442352;NA;33;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll0381
sll0185;sll0185;NP_442347;46.993;1260;0;NA;NA;NA;NA;Soluble proteins;0;5;no;sll0033 sll1614 sll0053 sll0735 sll0854
sll0188;sll0188;NP_442339;52.391;1506;0;NA;NA;NA;NA;PM;0;2;no;slr0992 slr0491
sll0188-5UTR;sll0188;NP_442339;NA;49;0;NA;NA;NA;NA;PM;0;2;no;slr0992 slr0491
sll0188-as;sll0188;NP_442339;NA;19;0;NA;NA;NA;NA;PM;0;2;no;slr0992 slr0491
sll0189;sll0189;NP_442338;NA;453;0;NA;NA;NA;NA;NA;NA;2;no;slr0009 slr0171
sll0194;sll0194;NP_442162;NA;765;6;NA;NA;NA;NA;NA;NA;5;no;sll1411 sll1489 slr1471 slr1225 sll1614
sll0194-3UTR;sll0194;NP_442162;NA;26;6;NA;NA;NA;NA;NA;NA;5;no;sll1411 sll1489 slr1471 slr1225 sll1614
sll0194-5UTR;sll0194;NP_442162;NA;26;6;NA;NA;NA;NA;NA;NA;5;no;sll1411 sll1489 slr1471 slr1225 sll1614
sll0195;sll0195;NP_442161;NA;645;0;NA;NA;NA;NA;Soluble proteins;0;1;no;ssr1258
sll0195-3UTR;sll0195;NP_442161;NA;154;0;NA;NA;NA;NA;Soluble proteins;0;1;no;ssr1258
sll0195-5UTR;sll0195;NP_442161;NA;29;0;NA;NA;NA;NA;Soluble proteins;0;1;no;ssr1258
sll0198;sll0198;NP_442159;21.336;576;0;NA;NA;NA;NA;Soluble proteins;0;5;no;slr2124 slr0362 ssl3573 slr1210 slr2041
sll0198-5UTR;sll0198;NP_442159;NA;22;0;NA;NA;NA;NA;Soluble proteins;0;5;no;slr2124 slr0362 ssl3573 slr1210 slr2041
sll0199;sll0199;NP_442157;13.146;381;1;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0602 slr0454
sll0204;sll0204;NP_442151;50.102;1371;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1427
sll0204-3UTR;sll0204;NP_442151;NA;38;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1427
sll0204-5UTR;sll0204;NP_442151;NA;33;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1427
sll0204-as;sll0204;NP_442151;NA;94;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1427
sll0204-as2;sll0204;NP_442151;NA;119;0;NA;NA;NA;NA;Soluble proteins;0;1;no;sll1427
sll0209;sll0209;NP_442146;37.65;1023;0;NA;NA;NA;NA;unknown;0;1;no;sll1003
sll0209-3UTR;sll0209;NP_442146;NA;561;0;NA;NA;NA;NA;unknown;0;1;no;sll1003
sll0209-5UTR;sll0209;NP_442146;NA;73;0;NA;NA;NA;NA;unknown;0;1;no;sll1003
sll0209-as;sll0209;NP_442146;NA;90;0;NA;NA;NA;NA;unknown;0;1;no;sll1003
sll0209-as2;sll0209;NP_442146;NA;118;0;NA;NA;NA;NA;unknown;0;1;no;sll1003
sll0210;sll0210;NP_442142;NA;981;7;NA;NA;NA;NA;NA;NA;2;no;sll0558 slr1117
sll0210-5UTR;sll0210;NP_442142;NA;24;7;NA;NA;NA;NA;NA;NA;2;no;sll0558 slr1117
sll0217;sll0217;NP_440050;64.082;1737;0;9;107;0.184801382;VLXT;NA;NA;1;no;sll0513
sll0217-5UTR;sll0217;NP_440050;NA;37;0;9;107;8.675675676;VLXT;NA;NA;1;no;sll0513
sll0217-as;sll0217;NP_440050;NA;218;0;9;107;1.472477064;VLXT;NA;NA;1;no;sll0513
sll0217-as2;sll0217;NP_440050;NA;247;0;9;107;1.299595142;VLXT;NA;NA;1;no;sll0513
sll0223;sll0223;NP_440041;55.354;1566;14;30;336;0.643678161;PV2;TM;14;4;no;slr1729 slr0839 slr0913 slr1403
sll0223-3UTR;sll0223;NP_440041;NA;5;14;30;336;201.6;PV2;TM;14;4;no;slr1729 slr0839 slr0913 slr1403
sll0223-5UTR;sll0223;NP_440041;NA;22;14;30;336;45.81818182;PV2;TM;14;4;no;slr1729 slr0839 slr0913 slr1403
sll0223-as;sll0223;NP_440041;NA;166;14;30;336;6.072289157;PV2;TM;14;4;no;slr1729 slr0839 slr0913 slr1403
sll0225;sll0225;NP_440033;NA;1539;0;8;75;0.14619883;VLXT;unknown;0;1;no;slr1334
sll0225-as;sll0225;NP_440033;NA;149;0;8;75;1.510067114;VLXT;unknown;0;1;no;slr1334
sll0226;sll0226;NP_440032;20.453;567;2;4;55;0.291005291;VLXT;TM;2;3;no;sll1180 slr1239 slr0615
sll0226-5UTR;sll0226;NP_440032;NA;35;2;4;55;4.714285714;VLXT;TM;2;3;no;sll1180 slr1239 slr0615
sll0228;sll0228;NP_440030;33.463;921;0;13;54;0.175895765;PV2;Soluble proteins;0;1;no;slr1674
sll0230;sll0230;NP_440026;10.944;306;1;8;40;0.392156863;PV2;Soluble proteins;0;1;no;ssl0750
sll0230-3UTR;sll0230;NP_440026;NA;368;1;8;40;0.326086957;PV2;Soluble proteins;0;1;no;ssl0750
sll0230-5UTR;sll0230;NP_440026;NA;44;1;8;40;2.727272727;PV2;Soluble proteins;0;1;no;ssl0750
sll0237;sll0237;NP_441284;37.029;1032;0;NA;NA;NA;NA;PM;0;2;no;slr1431 ssl2542
sll0243;sll0243;NP_441279;46.721;1251;0;NA;NA;NA;NA;unknown;0;3;no;sll1262 sll0375 ssr2848
sll0261;sll0261;NP_441825;NA;1707;2;NA;NA;NA;NA;NA;NA;3;no;sll0413 ssl1762 sll0939
sll0261-3UTR;sll0261;NP_441825;NA;10;2;NA;NA;NA;NA;NA;NA;3;no;sll0413 ssl1762 sll0939
sll0261-5UTR;sll0261;NP_441825;NA;123;2;NA;NA;NA;NA;NA;NA;3;no;sll0413 ssl1762 sll0939
sll0263;sll0263;NP_441823;27.311;735;0;NA;NA;NA;NA;NA;NA;3;no;slr0981 slr0191 sll1509
sll0263-5UTR;sll0263;NP_441823;NA;16;0;NA;NA;NA;NA;NA;NA;3;no;slr0981 slr0191 sll1509
sll0263-as;sll0263;NP_441823;NA;53;0;NA;NA;NA;NA;NA;NA;3;no;slr0981 slr0191 sll1509
sll0266;sll0266;NP_441820;NA;1239;0;NA;NA;NA;NA;NA;NA;1;no;slr2098
sll0267;sll0267;NP_441819;173.63;4602;4;NA;NA;NA;NA;PM;4;4;no;sll1925 slr1645 ssl0787 slr1838
sll0267-as;sll0267;NP_441819;NA;33;4;NA;NA;NA;NA;PM;4;4;no;sll1925 slr1645 ssl0787 slr1838
sll0267-as2;sll0267;NP_441819;NA;67;4;NA;NA;NA;NA;PM;4;4;no;sll1925 slr1645 ssl0787 slr1838
sll0268;sll0268;NP_441818;14.362;408;1;NA;NA;NA;NA;unknown;1;1;no;sll0915
sll0270;sll0270;NP_441816;NA;2496;0;NA;NA;NA;NA;NA;NA;5;no;slr1974 slr2092 slr0169 slr1431 ssr2843
sll0271;sll0271;NP_441814;30.59;828;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0679
sll0271-as;sll0271;NP_441814;NA;88;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0679
sll0272;sll0272;NP_441813;15.78;426;0;NA;NA;NA;NA;unknown;0;5;no;sll0252 slr0963 slr1199 sll1558 slr2102
sll0272-5UTR;sll0272;NP_441813;NA;60;0;NA;NA;NA;NA;unknown;0;5;no;sll0252 slr0963 slr1199 sll1558 slr2102
sll0273;sll0273;NP_441812;58.116;1623;11;NA;NA;NA;NA;PM;10;1;no;sll2012
sll0274;sll0274;NP_441811;21.473;591;0;NA;NA;NA;NA;unknown;0;4;no;slr2131 slr0594 sll1229 slr0369
sll0274-3UTR;sll0274;NP_441811;NA;132;0;NA;NA;NA;NA;unknown;0;4;no;slr2131 slr0594 sll1229 slr0369
sll0274-5UTR;sll0274;NP_441811;NA;491;0;NA;NA;NA;NA;unknown;0;4;no;slr2131 slr0594 sll1229 slr0369
sll0274-as;sll0274;NP_441811;NA;103;0;NA;NA;NA;NA;unknown;0;4;no;slr2131 slr0594 sll1229 slr0369
sll0280;sll0280;NP_442609;43.226;1104;0;NA;NA;NA;NA;unknown;0;3;no;slr0653 sll0502 sll1508
sll0281;sll0281;NP_442608;43.031;1173;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0263
sll0282;sll0282;NP_442607;NA;981;0;NA;NA;NA;NA;NA;NA;1;no;slr0354
sll0282-as;sll0282;NP_442607;NA;31;0;NA;NA;NA;NA;NA;NA;1;no;slr0354
sll0283;sll0283;NP_442605;47.541;1239;4;NA;NA;NA;NA;PM;4;5;no;slr1655 sll0456 slr1767 slr1148 sll1601
sll0284;sll0284;NP_442604;64.697;1740;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0733
sll0284-3UTR;sll0284;NP_442604;NA;35;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0733
sll0284-as;sll0284;NP_442604;NA;98;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0733
sll0284-as2;sll0284;NP_442604;NA;48;0;NA;NA;NA;NA;Soluble proteins;0;1;no;slr0733
sll0286;sll0286;NP_442603;19.788;516;0;NA;NA;NA;NA;unknown;0;6;no;sll1003 sll1178 sll0380 slr0733 sll1366 sll0149
sll0286-3UTR;sll0286;NP_442603;NA;205;0;NA;NA;NA;NA;unknown;0;6;no;sll1003 sll1178 sll0380 slr0733 sll1366 sll0149
sll0286-5UTR;sll0286;NP_442603;NA;90;0;NA;NA;NA;NA;unknown;0;6;no;sll1003 sll1178 sll0380 slr0733 sll1366 sll0149
sll0288;sll0288;NP_442593;26.841;744;0;NA;NA;NA;NA;unknown;0;4;no;sll0289 ssl1255 sll1473 slr1759
sll0288-5UTR;sll0288;NP_442593;NA;31;0;NA;NA;NA;NA;unknown;0;4;no;sll0289 ssl1255 sll1473 slr1759
sll0289;sll0289;NP_442592;29.047;801;0;NA;NA;NA;NA;PM;0;2;no;sll0288 slr0937
sll0289-5UTR;sll0289;NP_442592;NA;231;0;NA;NA;NA;NA;PM;0;2;no;sll0288 slr0937
sll0295;sll0295;NP_441971;31.248;807;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0585 sll1366
sll0295-5UTR;sll0295;NP_441971;NA;329;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0585 sll1366
sll0295-as;sll0295;NP_441971;NA;49;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0585 sll1366
sll0295-as2;sll0295;NP_441971;NA;37;0;NA;NA;NA;NA;Soluble proteins;0;2;no;slr0585 sll1366
sll0297;sll0297;NP_441963;NA;588;0;NA;NA;NA;NA;NA;NA;1;no;sll0821
sll0297-5UTR;sll0297;NP_441963;NA;133;0;NA;NA;NA;NA;NA;NA;1;no;sll0821
sll0297-as;sll0297;NP_441963;NA;53;0;NA;NA;NA;NA;NA;NA;1;no;sll0821
sll0306;sll0306;NP_441950;39.354;1038;0;NA;NA;NA;NA;unknown;0;6;no;sll1124 slr1646 sll0865 sll1143 sll1427 sll1272
"sll0306;REV__sll0722";sll0306;NP_441950;NA;1038;0;NA;NA;NA;NA;unknown;0;6;no;sll1124 slr1646 sll0865 sll1143 sll1427 sll1272
sll0306-3UTR;sll0306;NP_441950;NA;94;0;NA;NA;NA;NA;unknown;0;6;no;sll1124 slr1646 sll0865 sll1143 sll1427 sll1272
sll0306-5UTR;sll0306;NP_441950;NA;91;0;NA;NA;NA;NA;unknown;0;6;no;sll1124 slr1646 sll0865 sll1143 sll1427 sll1272
sll0306-as;sll0306;NP_441950;NA;157;0;NA;NA;NA;NA;unknown;0;6;no;sll1124 slr1646 sll0865 sll1143 sll1427 sll1272
sll0310;sll0310;NP_442105;NA;909;0;NA;NA;NA;NA;NA;NA;6;no;sll0776 slr0733 slr1571 sll1356 ssr2803 sll0034
sll0314;sll0314;NP_442097;35.444;945;0;NA;NA;NA;NA;Small ribosomal protein;0;5;no;slr0990 sll1835 sll0624 slr0103 sll0750
sll0314-3UTR;sll0314;NP_442097;NA;172;0;NA;NA;NA;NA;Small ribosomal protein;0;5;no;slr0990 sll1835 sll0624 slr0103 sll0750
sll0314-5UTR;sll0314;NP_442097;NA;196;0;NA;NA;NA;NA;Small ribosomal protein;0;5;no;slr0990 sll1835 sll0624 slr0103 sll0750
sll0318;sll0318;NP_442090;24.151;639;0;NA;NA;NA;NA;unknown;0;1;no;slr0496
sll0318-3UTR;sll0318;NP_442090;NA;132;0;NA;NA;NA;NA;unknown;0;1;no;slr0496
sll0318-5UTR;sll0318;NP_442090;NA;173;0;NA;NA;NA;NA;unknown;0;1;no;slr0496
sll0320;sll0320;NP_442087;24.403;654;0;NA;NA;NA;NA;Soluble proteins;0;2;no;sll1763 slr1505
sll0325;sll0325;NP_442078;55.546;1491;1;NA;NA;NA;NA;PM;1;4;no;slr0775 sll0471 sll1021 slr0611
sll0325-3UTR;sll0325;NP_442078;NA;245;1;NA;NA;NA;NA;PM;1;4;no;slr0775 sll0471 sll1021 slr0611
sll0325-5UTR;sll0325;NP_442078;NA;144;1;NA;NA;NA;NA;PM;1;4;no;slr0775 sll0471 sll1021 slr0611
sll0325-as;sll0325;NP_442078;NA;89;1;NA;NA;NA;NA;PM;1;4;no;slr0775 sll0471 sll1021 slr0611
sll0337;sll0337;NP_442021;43.634;1152;0;NA;NA;NA;NA;PM;0;5;no;slr0661 slr1878 slr1594 sll1408 slr0446
sll0337-3UTR;sll0337;NP_442021;NA;161;0;NA;NA;NA;NA;PM;0;5;no;slr0661 slr1878 slr1594 sll1408 slr0446
sll0337-5UTR;sll0337;NP_442021;NA;53;0;NA;NA;NA;NA;PM;0;5;no;slr0661 slr1878 slr1594 sll1408 slr0446
